id,f90,mean,var_resid,smul
000066,0.905880,0.347824,0.00740191,0.192563
000067,0.872100,0.274896,0.00460371,0.189191
000068,0.950046,0.348133,0.00799610,0.201943
000069,0.883676,0.548578,0.01161663,0.176185
000070,0.832279,0.550242,0.01298735,0.172677
000071,0.878481,0.546970,0.01529860,0.201845
000072,0.898030,0.547046,0.01401821,0.200729
000073,0.931491,0.562194,0.01183023,0.166620
000074,0.956896,0.551647,0.01284526,0.189672
000075,0.940393,0.551987,0.01520218,0.190238
000076,0.892747,0.531454,0.01077171,0.188882
000077,0.629137,0.533488,0.01611629,0.211733
000078,0.661668,0.523599,0.01604328,0.206213
000079,0.742311,0.543354,0.01682267,0.194388
000080,0.820461,0.562459,0.01388487,0.149553
000081,0.546931,0.371187,0.00751386,0.199724
000082,1.107971,0.318166,0.00463674,0.158422
000083,0.134865,0.402780,0.00681318,0.165538
000084,0.689318,0.567772,0.02148814,0.210227
000085,0.707193,0.570193,0.01476165,0.174862
000086,0.724207,0.580410,0.01962282,0.187130
000087,0.849266,0.373692,0.00899420,0.192753
000088,0.826243,0.401891,0.00729984,0.202124
000089,0.740706,0.438182,0.01188611,0.227035
000090,0.919688,0.389738,0.00624373,0.203725
000091,1.022990,0.366668,0.00818191,0.221285
000092,1.088408,0.369900,0.00880544,0.209669
000093,1.004294,0.406527,0.00724720,0.196618
000094,1.036710,0.515663,0.00868096,0.105968
000095,1.061839,0.442535,0.00674490,0.137848
000096,0.277096,0.375781,0.00801535,0.199160
000097,0.243319,0.356993,0.00529981,0.153637
000098,0.218889,0.357470,0.00594928,0.163619
000099,0.847287,0.431976,0.01108075,0.204201
000100,0.731293,0.427533,0.00801472,0.177151
000101,0.727738,0.435238,0.00764170,0.173864
000102,0.724375,0.471294,0.00840702,0.177103
000103,0.889425,0.326800,0.00454227,0.156450
000104,0.670829,0.359272,0.00561601,0.182956
000105,0.920981,0.435275,0.01421231,0.202038
000106,0.835499,0.441396,0.01070462,0.157529
000107,0.921776,0.452707,0.01114288,0.170993
000108,0.978903,0.435331,0.01079630,0.182721
000109,1.012133,0.437510,0.01276455,0.200458
000110,0.990710,0.406048,0.00746787,0.164272
000111,0.890762,0.415245,0.01152913,0.231692
000112,0.880459,0.431237,0.00816149,0.177792
000113,0.812087,0.441915,0.00855930,0.181808
000114,0.519751,0.611499,0.02052367,0.206821
000115,0.551598,0.601128,0.01327109,0.169830
000116,0.496877,0.592560,0.01728562,0.190859
000117,0.195937,0.539049,0.01056571,0.169791
000118,0.161059,0.435931,0.01076995,0.224328
000119,0.221247,0.524276,0.00932034,0.159375
000120,0.919688,0.401810,0.00948189,0.228942
000121,0.950753,0.396307,0.00894079,0.185549
000122,0.919422,0.404974,0.00928915,0.199486
000123,0.994031,0.414247,0.00722949,0.162302
000124,0.978529,0.430610,0.01046272,0.235405
000125,1.028998,0.401807,0.00836735,0.187405
000126,1.105351,0.429674,0.00752989,0.166266
000127,0.942208,0.432449,0.00960222,0.208236
000128,0.889391,0.386411,0.00570118,0.184606
000129,0.669554,0.494547,0.00982996,0.168275
000130,0.626658,0.475140,0.00866658,0.155830
000131,0.544022,0.466429,0.00867983,0.173429
000132,0.669554,0.412978,0.00922537,0.213268
000133,0.754058,0.437511,0.00936488,0.194613
000134,0.670829,0.440929,0.00781823,0.177930
000135,0.971801,0.481666,0.01158174,0.215990
000136,1.000641,0.446334,0.01202857,0.213103
000137,0.989107,0.481915,0.01043481,0.195175
000138,1.000031,0.490535,0.01319786,0.227033
000139,0.994676,0.464343,0.01310030,0.239913
000140,0.079672,0.424602,0.00773262,0.160894
000141,1.027485,0.580947,0.01658091,0.141067
000142,0.941301,0.517686,0.01923218,0.182438
000143,0.940101,0.616688,0.02275297,0.201190
000144,0.165544,0.367640,0.00551543,0.172952
000145,0.088388,0.469681,0.00836892,0.169858
000146,0.062986,0.854115,0.02121412,0.153015
000147,0.519751,0.648804,0.01303502,0.157089
000148,0.625000,0.618587,0.01499086,0.188615
000149,0.753613,0.576963,0.01557236,0.207813
000150,0.731293,0.484574,0.00938247,0.163939
000151,0.715558,0.471006,0.01221453,0.199965
000152,0.714150,0.494794,0.01054770,0.176045
000153,1.017096,0.512267,0.01625182,0.226319
000154,1.046088,0.504603,0.01361172,0.223692
000155,1.052631,0.519012,0.01446342,0.238323
000156,0.248162,0.536011,0.01027419,0.169394
000157,0.316093,0.578427,0.01616421,0.209651
000158,0.492745,0.568620,0.01115131,0.170383
000159,0.422526,0.508510,0.01257312,0.182057
000160,0.464696,0.506114,0.01510256,0.209642
000161,0.401566,0.494503,0.00941655,0.157808
000162,0.916730,0.315085,0.00845983,0.281764
000163,0.988119,0.233268,0.00519013,0.348148
000164,0.939224,0.226456,0.00579110,0.348778
000165,0.601309,0.426347,0.00771433,0.169093
000166,0.884781,0.383130,0.00776367,0.200246
000167,0.849086,0.374071,0.00770902,0.196915
000168,0.166096,0.432974,0.00797722,0.184018
000169,0.235544,0.465404,0.00836242,0.175068
000170,0.805294,0.557996,0.01116220,0.165207
000171,0.939126,0.343091,0.00471748,0.163720
000172,0.552427,0.299275,0.00313974,0.191249
000173,0.840343,0.288999,0.00327265,0.179844
000174,0.909276,0.369872,0.00682234,0.212793
000175,1.015625,0.384982,0.01045202,0.217153
000176,1.015625,0.383905,0.00685622,0.186352
000177,0.412512,0.574245,0.01041891,0.145161
000178,0.685099,0.517386,0.00993241,0.173521
000179,0.650317,0.544299,0.01688366,0.220557
000180,1.097343,0.372880,0.00539672,0.213627
000181,1.118580,0.431953,0.01307689,0.230729
000182,0.883124,0.370954,0.00482567,0.171465
000183,0.897316,0.214924,0.00363842,0.236183
000184,0.555567,0.323942,0.00745504,0.207147
000185,0.464893,0.445244,0.00800466,0.146014
000186,0.054688,0.637768,0.01750644,0.189929
000187,0.664062,0.663806,0.02055221,0.185549
000188,0.717092,0.661174,0.01306461,0.156468
000189,0.574577,0.425283,0.00775205,0.167871
000190,0.600750,0.425758,0.01085387,0.198569
000191,0.820350,0.450225,0.01337252,0.247333
000192,1.110365,0.335330,0.00616683,0.186287
000193,1.118825,0.418339,0.01105431,0.191788
000194,1.114891,0.378514,0.00707223,0.173587
000195,0.787553,0.570906,0.01733519,0.200478
000196,0.873639,0.568817,0.01121253,0.172101
000197,0.916763,0.524712,0.01335035,0.227988
000198,0.095043,0.520651,0.01439645,0.198237
000199,0.363848,0.636742,0.01358456,0.156537
000200,0.085938,0.420814,0.01000021,0.191814
000201,0.475023,0.288006,0.00596662,0.216943
000202,0.539968,0.243065,0.00469928,0.222993
000203,0.498288,0.329417,0.00614543,0.200118
000204,0.835097,0.616323,0.01579419,0.148792
000205,0.786894,0.586007,0.02381954,0.218690
000206,0.831105,0.586230,0.02337321,0.191624
000207,0.869437,0.207828,0.00380358,0.250118
000208,0.735538,0.292290,0.00589632,0.198047
000209,0.873674,0.214450,0.00477767,0.300868
000210,0.842193,0.673868,0.02390980,0.177026
000211,0.867750,0.671527,0.01693299,0.115447
000212,0.891105,0.671525,0.01982350,0.126595
000213,1.025344,0.398021,0.00850940,0.196650
000214,0.995504,0.446392,0.01030710,0.184147
000215,1.022363,0.384418,0.00777179,0.188650
000216,0.975843,0.604205,0.01590108,0.166321
000217,1.010957,0.554581,0.01246637,0.168774
000218,1.017966,0.533948,0.01474929,0.202263
000219,0.665715,0.605918,0.01700118,0.206447
000220,0.544078,0.490904,0.01507387,0.232340
000221,0.554192,0.609325,0.01650910,0.187351
000222,0.151691,0.654155,0.01257858,0.167783
000223,0.175564,0.549638,0.01450555,0.195650
000224,0.133042,0.612444,0.02012473,0.226510
000225,0.613418,0.541378,0.01413324,0.183315
000226,0.774542,0.549241,0.01588714,0.182197
000227,0.800391,0.573190,0.01425926,0.172609
000228,0.827388,0.252386,0.00597487,0.252082
000229,0.936360,0.253263,0.00430114,0.232154
000230,0.056876,0.499307,0.00827991,0.142118
000231,0.271758,0.372582,0.00496309,0.176638
000232,0.859411,0.438702,0.00687067,0.159121
000233,0.873674,0.438528,0.00877235,0.197773
000234,1.111052,0.350790,0.00699755,0.196495
000235,1.105075,0.489261,0.00977431,0.148481
000236,0.271758,0.358971,0.00496880,0.164794
000237,0.943503,0.391873,0.00583182,0.188088
000238,1.003230,0.410098,0.01190295,0.240235
000239,1.044686,0.458390,0.01293465,0.214111
000240,1.079144,0.356626,0.02782711,0.210868
000241,1.045650,0.429816,0.02975233,0.000000
000242,1.033054,0.458260,0.02134112,0.000000
000243,0.856422,0.466029,0.01128156,0.176560
000244,0.932277,0.482957,0.00997673,0.165202
000245,0.940750,0.474223,0.01394680,0.195799
000246,0.254116,0.474785,0.01099239,0.186675
000247,0.380975,0.454709,0.01071282,0.176182
000248,0.372714,0.428064,0.01039519,0.191205
000249,0.570366,0.418519,0.00838558,0.212652
000250,0.700211,0.454029,0.00636963,0.183847
000251,0.875349,0.374633,0.00693694,0.252437
000252,0.649895,0.423905,0.00643908,0.181559
000253,0.605254,0.423732,0.00599801,0.163206
000254,1.107337,0.574584,0.01552390,0.178849
000255,0.265395,0.399639,0.01032669,0.209322
000256,0.200098,0.354137,0.00523861,0.195097
000257,0.242565,0.374163,0.00508671,0.179803
000258,0.485130,0.351352,0.00502619,0.159986
000259,0.923991,0.422354,0.00773975,0.174165
000260,0.727905,0.342314,0.00458990,0.163342
000261,0.992280,0.394248,0.00635191,0.183570
000262,1.073530,0.456164,0.01221235,0.200938
000263,0.949211,0.414769,0.00589309,0.176211
000264,0.380975,0.511268,0.01206541,0.181896
000265,0.427409,0.554366,0.01158708,0.164104
000266,0.432166,0.566761,0.01390160,0.184149
000267,0.894762,0.363210,0.00734552,0.206139
000268,1.070341,0.418723,0.01152933,0.212521
000269,1.001250,0.314377,0.00756524,0.258740
000270,0.769323,0.420355,0.01113719,0.163608
000271,0.803777,0.444061,0.01219782,0.166933
000272,0.830701,0.469307,0.01359320,0.178365
000273,0.892439,0.486607,0.01021624,0.196835
000274,0.618768,0.428274,0.00627164,0.161656
000275,1.039180,0.373100,0.00994503,0.216987
000276,0.876255,0.475379,0.01195458,0.213328
000277,1.010595,0.421006,0.00976943,0.199702
000278,0.867188,0.452029,0.00992182,0.208609
000279,0.890659,0.414364,0.01204242,0.207852
000280,0.810394,0.422397,0.00983656,0.179103
000281,0.860440,0.418211,0.01163357,0.197387
000282,0.680406,0.314025,0.00532473,0.175915
000283,0.508773,0.287461,0.00491625,0.175873
000284,0.792305,0.354495,0.01022200,0.234971
000285,1.034825,0.430673,0.00924239,0.186458
000286,0.991572,0.361104,0.00851605,0.225574
000287,0.972899,0.389729,0.00829180,0.201879
000288,0.411178,0.509983,0.01089271,0.159392
000289,0.480897,0.589947,0.01757481,0.191589
000290,0.406250,0.544540,0.01723178,0.196192
000291,0.256269,0.577397,0.01139268,0.157797
000292,0.325979,0.551278,0.01555421,0.199727
000293,0.251582,0.541794,0.01724122,0.221095
000294,0.678384,0.433535,0.01089776,0.211330
000295,0.825652,0.338790,0.00462701,0.166288
000296,0.699164,0.432907,0.00808397,0.188799
000297,0.764069,0.518699,0.01739318,0.190686
000298,0.733751,0.547774,0.01545882,0.178430
000299,0.746779,0.497407,0.01318884,0.156925
000300,0.157998,0.369090,0.00761078,0.185100
000301,0.180366,0.386210,0.00665149,0.168058
000302,0.160299,0.408351,0.00715534,0.164212
000303,0.310147,0.499768,0.01086134,0.157557
000304,0.475216,0.399338,0.00856221,0.182592
000305,0.468815,0.400466,0.00802838,0.181917
000306,0.348861,0.583164,0.01118478,0.160638
000307,0.339192,0.556192,0.01455759,0.196479
000308,0.328590,0.571608,0.01804703,0.218328
000309,0.877299,0.561352,0.01316583,0.143639
000310,0.879210,0.592971,0.01304165,0.164673
000311,0.867504,0.567184,0.01407972,0.171414
000312,0.667775,0.436793,0.00961782,0.191420
000313,0.754705,0.402799,0.00806763,0.197061
000314,0.831105,0.429343,0.00834187,0.162494
000315,0.266084,0.549074,0.01714364,0.204338
000316,0.312598,0.566479,0.01143255,0.158686
000317,0.251582,0.543721,0.01153354,0.158782
000318,0.638956,0.406567,0.00942161,0.203121
000319,0.593184,0.412967,0.01006680,0.216773
000320,0.714064,0.423211,0.00766111,0.179976
000321,0.890933,0.424768,0.01314570,0.196422
000322,0.975061,0.312235,0.00872563,0.269832
000323,0.967647,0.287897,0.00852514,0.296448
000324,0.699688,0.416948,0.00655831,0.166308
000325,0.822987,0.400162,0.00747389,0.199310
000326,0.845087,0.377907,0.00676211,0.192604
000327,0.914430,0.505025,0.00886119,0.147785
000328,0.993939,0.294286,0.00573488,0.234374
000329,0.615008,0.339173,0.00684293,0.214366
000330,1.012917,0.520405,0.01219025,0.197777
000331,0.993294,0.489294,0.01100303,0.182121
000332,1.028465,0.425753,0.00944581,0.185401
000333,0.687367,0.391990,0.00706315,0.181723
000334,0.812838,0.403681,0.00775775,0.187384
000335,0.809263,0.450282,0.00848326,0.170924
000336,0.410138,0.442936,0.01269163,0.199187
000337,0.783162,0.562250,0.01078213,0.168768
000338,0.399050,0.506093,0.01507645,0.192406
000339,0.830701,0.436187,0.00930160,0.209792
000340,0.645466,0.377897,0.00837534,0.210300
000341,0.741365,0.369850,0.00601919,0.181178
000342,0.909511,0.424194,0.00979357,0.240831
000343,0.973934,0.450763,0.00751484,0.182819
000344,0.999084,0.436425,0.01476577,0.241780
000345,0.850415,0.512675,0.01075248,0.178451
000346,1.010111,0.392477,0.00930571,0.206940
000347,0.990710,0.405004,0.00864430,0.186995
000348,0.757812,0.463211,0.01128423,0.206901
000349,0.853853,0.389220,0.00959173,0.227853
000350,0.642908,0.380709,0.00807909,0.206841
000351,0.995749,0.434551,0.00881538,0.180791
000352,1.047924,0.428516,0.00901388,0.163362
000353,0.751382,0.422598,0.00675502,0.170743
000354,0.623827,0.423199,0.00973703,0.214340
000355,0.735040,0.429114,0.00734796,0.160472
000356,0.739386,0.433011,0.01041445,0.205401
000357,0.496877,0.474635,0.01380247,0.226234
000358,0.508713,0.475198,0.01232235,0.207293
000359,0.479626,0.465735,0.01003592,0.185602
000360,0.660191,0.369955,0.00804635,0.207384
000361,0.750651,0.354733,0.00704282,0.200743
000362,0.812988,0.385569,0.00964823,0.224447
000363,0.927453,0.429773,0.00839952,0.193198
000364,1.115903,0.335805,0.00557542,0.196470
000365,1.120706,0.441348,0.01185297,0.204217
000366,0.949179,0.393407,0.00892192,0.239084
000367,0.546931,0.380554,0.00731296,0.209335
000368,1.067229,0.481326,0.01373130,0.218499
000369,1.020332,0.336723,0.00426290,0.175205
000370,1.013218,0.566843,0.01495250,0.190846
000371,0.983569,0.351977,0.00526646,0.231295
000372,0.731544,0.575138,0.01406268,0.186949
000373,0.826687,0.578390,0.01129776,0.164829
000374,0.861857,0.509081,0.01173239,0.190984
000375,0.589313,0.435541,0.00674248,0.167107
000376,0.716241,0.435689,0.00717957,0.171327
000377,0.564450,0.466719,0.00781827,0.162498
000378,0.813438,0.349792,0.00655710,0.179317
000379,0.806619,0.354681,0.00763176,0.197539
000380,0.855032,0.351152,0.00673319,0.191952
000381,0.944667,0.512544,0.01168628,0.199236
000382,1.036092,0.521749,0.01965861,0.271241
000383,1.032019,0.496060,0.01260120,0.264578
000384,0.832242,0.471272,0.01146119,0.170285
000385,0.873115,0.455124,0.01151995,0.184344
000386,0.895580,0.457962,0.00979898,0.173465
000387,0.924817,0.355742,0.00701891,0.214127
000388,0.877299,0.394380,0.00607640,0.200231
000389,0.933749,0.378503,0.00695636,0.223694
000390,0.918725,0.453582,0.00788146,0.160687
000391,0.943276,0.421532,0.01061216,0.209083
000392,0.891173,0.436082,0.00961637,0.188309
000393,0.572236,0.553150,0.01639750,0.221208
000394,0.841432,0.527902,0.00934957,0.166303
000395,0.821502,0.510313,0.00970409,0.175686
000396,0.779412,0.469439,0.01235299,0.200128
000397,0.879210,0.483008,0.01049862,0.161250
000398,0.762670,0.450266,0.00898075,0.163801
000399,0.255434,0.407811,0.00625508,0.174178
000400,1.121441,0.454293,0.01365024,0.219352
000401,1.120488,0.381795,0.01033925,0.223685
000402,0.937760,0.432172,0.01108908,0.211964
000403,1.010957,0.392202,0.00768983,0.171422
000404,0.862813,0.420982,0.00795949,0.187848
000405,0.882017,0.358576,0.00694643,0.196170
000406,0.905846,0.324437,0.00731141,0.244379
000407,0.852530,0.326888,0.00678677,0.214871
000408,0.622652,0.372024,0.00544698,0.192375
000409,0.862671,0.376554,0.00892338,0.213254
000410,0.783629,0.398152,0.00691752,0.180982
000411,0.895205,0.441305,0.00897805,0.185827
000412,0.645040,0.424711,0.00925121,0.181731
000413,0.899286,0.458311,0.00846747,0.176064
000414,0.810582,0.585354,0.01394030,0.187636
000415,0.838889,0.579169,0.01530291,0.195143
000416,0.867750,0.547126,0.00976061,0.167712
000417,1.116313,0.485840,0.01515581,0.192715
000418,1.111711,0.369173,0.00605835,0.162601
000419,1.112452,0.513113,0.01497866,0.191942
000420,0.074116,0.526003,0.01055858,0.172437
000421,0.139098,0.365316,0.00613564,0.195498
000422,0.101562,0.448552,0.01001801,0.209658
000423,0.990987,0.419665,0.00597864,0.201162
000424,1.023706,0.402591,0.01050215,0.208613
000425,1.045650,0.414509,0.01157360,0.219082
000426,1.055497,0.390963,0.00841472,0.193087
000427,1.019614,0.382310,0.00784086,0.197931
000428,0.971393,0.429930,0.01150924,0.235861
000429,0.774542,0.400307,0.00613721,0.187147
000430,0.876150,0.407389,0.00660536,0.160211
000431,0.756523,0.424975,0.00818028,0.192957
000432,0.784408,0.420693,0.00873326,0.196589
000433,0.852458,0.408895,0.00730050,0.191645
000434,0.613667,0.425380,0.01097428,0.220232
000435,0.085938,0.676196,0.01969925,0.183994
000436,0.112673,0.470676,0.01055759,0.185037
000437,0.265740,0.926349,0.02555745,0.145241
000438,0.714021,0.425206,0.00779070,0.176812
000439,0.997127,0.392655,0.00671856,0.242258
000440,0.902538,0.415433,0.01082404,0.229433
000441,1.077219,0.605331,0.03209462,0.090628
000442,1.082588,0.629678,0.04169933,0.000000
000443,1.087398,0.634941,0.03928017,0.000000
000444,0.866096,0.797527,0.02042918,0.161326
000445,0.892302,0.793588,0.01882661,0.144793
000446,0.929392,0.780447,0.02117407,0.174512
000447,0.862777,0.508714,0.01631084,0.219246
000448,0.884056,0.485812,0.01155785,0.185337
000449,0.881256,0.452025,0.01013822,0.157492
000450,0.383131,0.487111,0.01013073,0.172847
000451,0.360731,0.514279,0.01290560,0.178829
000452,0.460474,0.497284,0.01375179,0.198374
000453,0.969537,0.381749,0.00737402,0.197538
000454,0.850415,0.438239,0.00804434,0.197636
000455,0.964773,0.426684,0.00762347,0.202491
000456,0.801191,0.433526,0.00742140,0.166258
000457,1.048739,0.278816,0.00406185,0.191214
000458,1.027930,0.330640,0.00622125,0.253211
000459,0.598256,0.589246,0.01483596,0.167746
000460,0.633005,0.604732,0.01437936,0.146251
000461,0.699164,0.612860,0.01696702,0.163502
000462,0.995872,0.463690,0.01068702,0.196528
000463,1.022990,0.578009,0.01257224,0.156513
000464,0.911923,0.538111,0.01032251,0.158051
000465,0.535940,0.426369,0.00641364,0.169845
000466,0.478161,0.433712,0.00969961,0.205168
000467,0.656994,0.389182,0.00653603,0.193270
000468,0.797488,0.363390,0.00794588,0.216479
000469,0.233069,0.150019,0.00111552,0.192935
000470,0.328497,0.085149,0.00043483,0.281679
000471,0.882847,0.376680,0.00605030,0.202914
000472,0.829929,0.344716,0.00444689,0.170711
000473,1.045124,0.453561,0.00883633,0.179656
000474,0.256983,0.824893,0.02328063,0.169278
000475,0.392573,0.467977,0.01279370,0.199261
000476,0.294086,0.534081,0.01285627,0.167759
000477,0.613219,0.451282,0.00860126,0.178688
000478,0.637473,0.500734,0.00879589,0.157179
000479,0.539968,0.407366,0.01068900,0.241740
000480,0.727024,0.400497,0.00709848,0.177552
000481,0.876568,0.411607,0.00751392,0.180250
000482,0.592927,0.407435,0.00779351,0.197410
000483,0.932833,0.422667,0.00968821,0.202401
000484,1.047137,0.437655,0.01242509,0.226247
000485,0.957501,0.406886,0.00640325,0.164429
000486,1.020930,0.416932,0.01513557,0.211596
000487,1.028168,0.385299,0.01485393,0.238941
000488,1.023706,0.414608,0.01231852,0.184798
000489,1.088155,0.563698,0.01473122,0.193847
000490,0.776234,0.410550,0.00930501,0.223041
000491,0.625049,0.404635,0.00900371,0.206581
000492,0.744200,0.484902,0.01260293,0.192427
000493,0.696409,0.480419,0.00969733,0.173123
000494,0.818264,0.491745,0.00980557,0.149790
000495,1.061810,0.481410,0.01025099,0.199918
000496,0.783629,0.396178,0.00604801,0.192514
000497,1.114754,0.517187,0.01179916,0.161758
000498,0.921113,0.378991,0.00682880,0.197108
000499,0.795879,0.450213,0.00698061,0.175160
000500,0.797220,0.444779,0.00895583,0.189992
000501,0.622260,0.452525,0.01019853,0.191742
000502,0.654107,0.462856,0.00775175,0.170461
000503,0.670829,0.460531,0.01189567,0.211615
000504,0.928209,0.403946,0.00666705,0.158762
000505,0.557377,0.428457,0.00790950,0.179037
000506,0.771818,0.432335,0.01051186,0.208989
000507,0.398744,0.542111,0.01064560,0.156213
000508,0.394125,0.550024,0.01396964,0.188756
000509,0.429971,0.556250,0.01347481,0.178429
000510,0.859411,0.426259,0.01115452,0.242122
000511,0.881013,0.376810,0.00621221,0.174474
000512,0.790955,0.492852,0.00966865,0.188472
000513,0.637760,0.325883,0.00435450,0.162306
000514,0.946861,0.402835,0.00666650,0.185125
000515,0.995504,0.378039,0.00887328,0.219757
000516,0.750366,0.400410,0.00937689,0.223718
000517,0.876568,0.348223,0.00546916,0.178428
000518,0.914430,0.354497,0.00711533,0.216534
000519,0.863555,0.371298,0.00586107,0.162354
000520,0.897316,0.371979,0.00722601,0.214612
000521,0.939581,0.356494,0.00604531,0.186196
000522,0.861113,0.342624,0.00791993,0.189472
000523,0.798902,0.273958,0.00442498,0.177410
000524,0.887261,0.354851,0.00875429,0.210617
000525,0.653360,0.585963,0.01590901,0.157376
000526,0.690026,0.621700,0.01810410,0.175280
000527,0.730625,0.612652,0.02214341,0.199247
000528,0.539289,0.491405,0.00751057,0.145850
000529,0.946603,0.464001,0.01102482,0.224602
000530,1.046554,0.401198,0.01026879,0.218183
000531,1.093303,0.377869,0.00677703,0.208231
000532,1.084700,0.406049,0.00631365,0.172623
000533,0.799551,0.426206,0.00579068,0.170148
000534,0.684831,0.442107,0.00634104,0.170265
000535,0.744323,0.441567,0.00806184,0.196692
000536,0.750000,0.473108,0.00898263,0.187464
000537,0.364769,0.250706,0.00462442,0.237205
000538,0.364183,0.366120,0.00663935,0.182591
000539,0.342505,0.412131,0.00983954,0.203547
000540,0.983382,0.400016,0.00672887,0.198739
000541,0.906856,0.360466,0.00564484,0.190201
000542,0.950239,0.368271,0.00525045,0.194672
000543,0.528716,0.376419,0.00707030,0.178182
000544,0.512121,0.379662,0.00791167,0.173727
000545,0.657829,0.356835,0.00728595,0.198465
000546,0.832865,0.291285,0.00486494,0.198035
000547,0.806846,0.242251,0.00370420,0.209851
000548,0.833415,0.339501,0.00525051,0.180210
000549,0.173466,0.503998,0.01059955,0.173311
000550,0.178152,0.431339,0.00926164,0.190091
000551,0.172584,0.441699,0.00739360,0.163001
000552,0.415901,0.338974,0.00697369,0.226701
000553,1.028168,0.279305,0.00482283,0.213015
000554,1.015415,0.329808,0.00605474,0.196218
000555,0.648249,0.555309,0.01313334,0.143586
000556,0.846062,0.576214,0.02125873,0.197617
000557,0.908403,0.574807,0.01453569,0.137869
000558,0.726940,0.384055,0.01009500,0.232463
000559,0.971298,0.261432,0.00633534,0.332703
000560,0.892815,0.268081,0.00467592,0.218502
000561,0.803131,0.375222,0.00572880,0.179179
000562,0.553421,0.368599,0.00838444,0.214236
000563,0.605658,0.442183,0.01025142,0.203417
000564,0.948407,0.402788,0.00896091,0.235037
000565,0.919422,0.386500,0.00932150,0.222725
000566,0.940393,0.389273,0.00865361,0.228583
000567,0.674323,0.475280,0.01234225,0.216789
000568,0.625488,0.441375,0.00958508,0.207277
000569,1.089977,0.462089,0.01063129,0.195624
000570,0.507812,0.334517,0.00648881,0.216778
000571,0.555567,0.345851,0.00715877,0.199119
000572,0.741570,0.224382,0.00376539,0.252169
000573,0.785691,0.462915,0.01105835,0.173972
000574,0.790569,0.481194,0.01124779,0.178409
000575,0.855388,0.483421,0.01190339,0.190280
000576,0.922801,0.411800,0.00882731,0.210307
000577,0.867750,0.411234,0.00951354,0.191437
000578,0.711452,0.423701,0.01070063,0.206795
000579,0.773477,0.418636,0.00983813,0.198624
000580,1.008569,0.320175,0.00517987,0.246370
000581,1.001220,0.334451,0.00551127,0.243904
